id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,google product category,shipping weight,sale price,sale price effective date,additional image link,product type,custom label 0
111U-X,Patriotic Birthday - Set of 50 -  Patriotic Birthday Cards,"This executive birthday card has a subtly patriotic theme. Featuring FSC&reg; certified paper and silver foil embossing.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Patriotic_Birthday_111U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/111.jpg,,111U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Patriotic Birthday Card,15Off
113U-X,Stroll in the Park - Set of 50 -  Scenic Birthday Cards,"This picturesque park scene makes you feel like you are there. Featuring gold foil embossing on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Stroll_in_the_Park_113U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/113.jpg,,113U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Scenic Birthday Card,15Off
119U-X,Coastal Golf - Set of 50 -  Golf Birthday Cards,"A scenic golf course overlooking the ocean. Featuring gold foil embossing and FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Coastal_Golf_119U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/119.jpg,,119U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Golf Birthday Card,15Off
125U-X,Birthday Construction - Set of 50 -  Construction Birthday Cards,"A birthday card featuring a city skyline under construction and silver foil stamping. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Birthday_Construction_125U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/125.jpg,,125U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Construction Birthday Card,15Off
126U-X,Feliz Cumpleanos - Set of 50 -  Spanish Birthday Cards,"A colorful Spanish birthday card featuring FSC&reg; certified paper and gold foil embossing.
Includes 26 white envelopes for every 25 cards ordered.
English translation of interior verse: May your birthday be filled with joy, fortune and love.",https://postycards.com/catalog/product/Feliz_Cumpleaos_126U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/126.jpg,,126U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Spanish Birthday Card,15Off
127U-X,Patriotic Home - Set of 50 -  Patriotic Birthday Cards,"This business birthday card features a beautiful home with an American flag and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Patriotic_Home_127U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/127.jpg,,127U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Patriotic Birthday Card,15Off
129U-X,Nest Egg - Set of 50 -  Financial Birthday Cards,"Your clients will love this literal interpretation of a &quot;nest egg.&quot; Featuring gold foil embossing and FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Nest_Egg_129U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/129.jpg,,129U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Financial Birthday Card,15Off
132R-X,Chinese Birthday - Set of 50 -  Chinese Birthday Cards,"This elegant Chinese birthday card features gold foil embossing and FSC&reg; certified paper. The verse appears in English on the right and Chinese on the left.
Includes 26 red envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Chinese_Birthday_132R,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/132.jpg,,132R-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Chinese Birthday Card,15Off
135U-Y,Spring Floral - Set of 50 -  Floral Birthday Cards,"These bright flowers will brighten anyone's day. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Spring_Floral_135U,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/135.jpg,,135U-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Floral Birthday Card,15Off
143U-Y,Feliz Cumpleanos Balloons - Set of 50 -  Spanish Birthday Cards,"A fun Spanish birthday card with colorful graphic balloons, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
English translation of interior verse: It's your birthday! Time for fun.",https://postycards.com/catalog/product/Feliz_Cumpleaos_Balloons_143U,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/143.jpg,,143U-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Spanish Birthday Card,15Off
