id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,google product category,shipping weight,sale price,sale price effective date,additional image link,product type,custom label 0
111U-X,Patriotic Birthday - Patriotic Birthday Cards,This executive birthday card has a subtly patriotic theme. Featuring FSC&reg; certified paper and silver foil embossing.,https://postycards.com/catalog/product/Patriotic_Birthday_111U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/111.jpg,,111U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Patriotic Birthday Card,15Off
113U-X,Stroll in the Park - Scenic Birthday Cards,"This picturesque park scene makes you feel like you are there. Featuring gold foil embossing on FSC&reg; certified paper.
",https://postycards.com/catalog/product/Stroll_in_the_Park_113U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/113.jpg,,113U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Scenic Birthday Card,15Off
119U-X,Coastal Golf - Golf Birthday Cards,"A scenic golf course overlooking the ocean. Featuring gold foil embossing and FSC&reg; certified paper.
",https://postycards.com/catalog/product/Coastal_Golf_119U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/119.jpg,,119U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Golf Birthday Card,15Off
125U-X,Birthday Construction - Construction Birthday Cards,"A birthday card featuring a city skyline under construction and silver foil stamping. Printed on FSC&reg; certified paper.
",https://postycards.com/catalog/product/Birthday_Construction_125U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/125.jpg,,125U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Construction Birthday Card,15Off
126U-X,Feliz Cumpleanos - Spanish Birthday Cards,"A colorful Spanish birthday card featuring FSC&reg; certified paper and gold foil embossing.

English translation of interior verse: May your birthday be filled with joy, fortune and love.",https://postycards.com/catalog/product/Feliz_Cumpleaos_126U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/126.jpg,,126U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Spanish Birthday Card,15Off
127U-X,Patriotic Home - Patriotic Birthday Cards,"This business birthday card features a beautiful home with an American flag and gold foil embossing. Printed on FSC&reg; certified paper.
",https://postycards.com/catalog/product/Patriotic_Home_127U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/127.jpg,,127U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Patriotic Birthday Card,15Off
129U-X,Nest Egg - Financial Birthday Cards,"Your clients will love this literal interpretation of a &quot;nest egg.&quot; Featuring gold foil embossing and FSC&reg; certified paper.
",https://postycards.com/catalog/product/Nest_Egg_129U,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/129.jpg,,129U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Financial Birthday Card,15Off
132R-X,Chinese Birthday - Chinese Birthday Cards,"This elegant Chinese birthday card features gold foil embossing and FSC&reg; certified paper. The verse appears in English on the right and Chinese on the left.
Includes 26 red envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Chinese_Birthday_132R,New,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/132.jpg,,132R-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Chinese Birthday Card,15Off
135U-Y,Spring Floral - Floral Birthday Cards,"These bright flowers will brighten anyone's day. Printed on FSC&reg; certified paper.
",https://postycards.com/catalog/product/Spring_Floral_135U,New,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/135.jpg,,135U-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Floral Birthday Card,15Off
143U-Y,Feliz Cumpleanos Balloons - Spanish Birthday Cards,"A fun Spanish birthday card with colorful graphic balloons, printed on FSC&reg; certified paper.

English translation of interior verse: It's your birthday! Time for fun.",https://postycards.com/catalog/product/Feliz_Cumpleaos_Balloons_143U,New,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/143.jpg,,143U-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Spanish Birthday Card,15Off
144L-Y,Birthday Policy - Financial Birthday Cards,"This birthday card is perfect for anyone in the insurance industry. Your clients will love that it is designed to look like an insurance policy.
Printed on FSC&reg; certified paper and
Folds to fit in a 4&quot; x 9.25&quot; (#10) envelope.",https://postycards.com/catalog/product/Birthday_Policy_144L,New,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/144.jpg,,144L-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Financial Birthday Card,15Off
